generated_on,display_name,Sep.21,Oct.21,Nov.21,Dec.21,Jan.22,Feb.22
2021-09-20 00:11:20.045,RBOB,-8.7,-11.45,-12.45,-14.75,-17.2,-29.55
2021-09-20 00:26:20.045,RBOB,-8.5,-11.5,-12.45,-14.75,-17.15,-29.5
2021-09-20 00:41:20.045,RBOB,-8.55,-11.5,-12.45,-14.75,-17.15,-29.55
2021-09-20 00:56:20.045,RBOB,-8.55,-11.5,-12.45,-14.8,-17.15,-29.55
2021-09-20 01:11:20.045,RBOB,-8.5,-11.5,-12.45,-14.8,-17.2,-29.55
2021-09-20 01:26:20.045,RBOB,-8.55,-11.5,-12.45,-14.75,-17.2,-29.55
2021-09-20 01:41:20.045,RBOB,-8.5,-11.5,-12.45,-14.75,-17.15,-29.5
2021-09-20 01:56:20.045,RBOB,-8.5,-11.45,-12.4,-14.75,-17.1,-29.5
2021-09-20 02:11:20.045,RBOB,-8.45,-11.4,-12.35,-14.7,-17.05,-29.4
2021-09-20 02:26:20.052,RBOB,-8.35,-11.35,-12.35,-14.65,-17.05,-29.45
2021-09-20 02:41:20.045,RBOB,-8.4,-11.4,-12.4,-14.7,-17.1,-29.5
2021-09-20 02:56:20.045,RBOB,-8.4,-11.4,-12.35,-14.65,-17.05,-29.45
2021-09-20 03:11:20.045,RBOB,-8.45,-11.45,-12.45,-14.85,-17.3,-29.45
2021-09-20 03:26:20.045,RBOB,-8.5,-11.45,-12.5,-14.85,-17.3,-29.65
2021-09-20 03:41:20.045,RBOB,-8.6,-11.55,-12.55,-14.9,-17.3,-29.7
2021-09-20 03:56:20.045,RBOB,-8.55,-11.5,-12.55,-14.9,-17.25,-29.7
2021-09-20 04:11:20.045,RBOB,-8.55,-11.55,-12.55,-14.9,-17.3,-29.65
2021-09-20 04:26:20.051,RBOB,-8.6,-11.55,-12.55,-14.9,-17.3,-29.65
2021-09-20 04:41:20.045,RBOB,-8.45,-11.45,-12.45,-14.8,-17.2,-29.55
2021-09-20 04:56:20.045,RBOB,-8.45,-11.45,-12.45,-14.8,-17.2,-29.6
2021-09-20 05:11:20.051,RBOB,-8.4,-11.4,-12.45,-14.8,-17.2,-29.55
2021-09-20 05:26:20.045,RBOB,-8.605379746835442,-11.4,-12.45,-14.85,-17.2,-29.6
2021-09-20 05:41:20.045,RBOB,-8.45,-11.4,-12.45,-14.8,-17.2,-29.55
2021-09-20 05:56:20.045,RBOB,-8.45,-11.4,-12.4,-14.75,-17.15,-29.5
2021-09-20 06:11:20.045,RBOB,-8.4,-11.4,-12.4,-14.75,-17.1,-29.5
2021-09-20 06:26:20.045,RBOB,-8.4,-11.4,-12.45,-14.8,-17.15,-29.55
2021-09-20 06:41:20.045,RBOB,-8.35,-11.35,-12.35,-14.7,-17.1,-29.5
2021-09-20 06:56:20.045,RBOB,-8.45,-11.35,-12.35,-14.7,-17.05,-29.45
2021-09-20 07:11:20.045,RBOB,-8.3,-11.25,-12.3,-14.7,-17.1,-29.5
2021-09-20 07:26:20.049,RBOB,-8.2,-11.1,-12.15,-14.65,-17.0,-29.4
2021-09-20 07:41:20.045,RBOB,-8.1,-11.05,-12.15,-14.6,-16.95,-29.3
2021-09-20 07:56:20.045,RBOB,-8.05,-10.95,-12.05,-14.5,-16.85,-29.25
